svenska,english
som,as
jag,I
hans,his
att,to
han,he
var,where
för,for
på,on
är,is
med,with
de,the
vara,be
vid,at
ett,a
ha,have
detta,this
från,from
genom,By
het,hot
ord,words
men,but
vad,What
några,some
är,is
den,the
du,you
eller,or
hade,had
den,the
av,of
till,to
och,and
en,a
i,in
vi,we
kan,can
ut,out
andra,Other
var,where
vilken,which
göra,do
deras,their
tid,time
om,If
kommer,is coming
hur,how
sa,said
ett,a
varje,each
berätta,tell
gör,do
uppsättning,set
tre,three
vill,want
luft,air
väl,well
också,also
spela,play
liten,small
ände,End
sätta,put
hem,Home
läsa,read
sidan,page
port,port
stor,great
stava,spell
lägg,put
även,also
mark,ground
här,here
must,must
stor,great
hög,high
sådan,such
följ,follow
handling,action
varför,why
be,ask
män,men
förändring,change
gick,went
ljus,light
slag,kind
off,off
behöver,need
hus,House
bilden,the picture
försök,attempt
oss,us
igen,again
djur,animal
punkt,point
mor,mother
världen,the world
nära,near
bygga,build
själv,self
jord,soil
far,Father
någon,any
ny,new
arbete,work
delen,the part
ta,take
få,get
plats,place
gjort,done
lever,liver
där,where
efter,after
tillbaka,back
liten,small
endast,only
rund,round
människa,person
år,year
kom,come
visar,shows
varje,each
bra,Good
mig,me
ge,give
vår,our
enligt,according to
namn,name
mycket,very
genom,By
bara,only
formulär,form
meningen,the meaning
bra,Good
tro,believe
säga,say
hjälpa,help
låg,low
linje,line
skiljer,differs
tur,tour
orsak,cause
mycket,very
betyda,mean
före,before
drag,features
höger,Right
pojke,Boy
gammal,old
alltför,too
samma,same
hon,she
alla,all
där,where
när,when
upp,up
använda,use
din,your
sätt,way
ca,approx
många,many
sedan,then
dem,them
skriva,write
skulle,would
liknande,similar
så,so
dessa,these
hennes,her
lång,long
göra,do
sak,Thing
se,see
honom,him
två,two
har,have
ser,see
mer,more
dag,day
kunde,could
gå,go
komma,come
gjorde,did
antal,number
sund,sound
nej,No
mest,most
människor,people
min,my
över,over
vet,know
vatten,water
än,than
samtal,Call
först,first
som,as
får,may
ner,down
sida,page
varit,been
nu,Now
hitta,find
huvud,head
stå,stand
egen,own
sida,page
bör,should
land,country
funnen,found
svar,response
skola,school
växa,grow
studie,study
fortfarande,still
lära,teach
växt,Plant
lock,lid
mat,food
sol,solar
fyra,four
mellan,between
tillstånd,condition
hålla,keep
öga,eye
aldrig,Never
sista,last
låt,song
trodde,thought
ort,locality
träd,Tree
korsa,cross
gård,courtyard
hård,hard
start,Start
kanske,perhaps
berättelse,story
sågen,the saw
långt,far
hav,sea
rita,draw
vänster,left
sen,late
köra,drive
inte,not
medan,while
tryck,pressure
nära,near
natt,night
verklig,real
liv,life
några,some
norr,north
boken,the book
bära,wear
tog,took
vetenskap,science
äta,eat
rum,room
vän,Friend
började,began
idé,idea
fisk,fish
berg,mountain
stoppa,stop
en gång,once
bas,base
höra,hear
häst,HORSE
snitt,cut
säker,sure
klocka,clock
färg,Paint
ansikte,face
trä,wood
huvud,head
öppen,open
tyckas,seem
tillsammans,Together
nästa,next
vit,White
barn,children
börja,start
fick,got
gå,go
exempel,example
lindra,relieve
papper,paper
grupp,group
alltid,always
musik,music
de som,those who
båda,both
märke,make
ofta,Often
bokstav,letter
tills,until
mil,miles
flod,river
bil,car
fot,Foot
vård,care
andra,Other
tillräckligt,enough
vanlig,common
flicka,girl
vanligt,usual
ung,young
klar,clear
ovan,above
någonsin,ever
röd,RED
lista,list
though,though
känna,feel
diskussion,discussion
fågel,bird
snart,soon
kropp,body
